PID,TIMELINE,VIDEO,SUS
149508537, Timeline 3 (Event Blocks), VIRAT_S_0002,80
149508537, Timeline 2 (Density Graph), VIRAT_S_0100,75
149508537, Timeline 1 (Base Interface), VIRAT_S_0102,82.5
149508537, Timeline 5 (Event Thumbnails), VIRAT_S_0400,75
149508537, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,82.5
149466211, Timeline 1 (Base Interface), VIRAT_S_0002,47.5
149466211, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,57.5
149466211, Timeline 5 (Event Thumbnails), VIRAT_S_0102,70
149466211, Timeline 3 (Event Blocks), VIRAT_S_0400,65
149466211, Timeline 2 (Density Graph), VIRAT_S_0500,60
149439530, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,75
149439530, Timeline 1 (Base Interface), VIRAT_S_0100,75
149439530, Timeline 2 (Density Graph), VIRAT_S_0102,45
149439530, Timeline 5 (Event Thumbnails), VIRAT_S_0400,75
149439530, Timeline 3 (Event Blocks), VIRAT_S_0500,75
149353591, Timeline 5 (Event Thumbnails), VIRAT_S_0002,82.5
149353591, Timeline 2 (Density Graph), VIRAT_S_0100,55
149353591, Timeline 3 (Event Blocks), VIRAT_S_0102,87.5
149353591, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,77.5
149353591, Timeline 1 (Base Interface), VIRAT_S_0500,47.5
149215102, Timeline 3 (Event Blocks), VIRAT_S_0002,70
149215102, Timeline 2 (Density Graph), VIRAT_S_0100,30
149215102, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,77.5
149215102, Timeline 5 (Event Thumbnails), VIRAT_S_0400,75
149215102, Timeline 1 (Base Interface), VIRAT_S_0500,42.5
149185311, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,87.5
149185311, Timeline 3 (Event Blocks), VIRAT_S_0100,92.5
149185311, Timeline 1 (Base Interface), VIRAT_S_0102,90
149185311, Timeline 2 (Density Graph), VIRAT_S_0400,90
149185311, Timeline 5 (Event Thumbnails), VIRAT_S_0500,97.5
149140946, Timeline 1 (Base Interface), VIRAT_S_0002,62.5
149140946, Timeline 3 (Event Blocks), VIRAT_S_0100,70
149140946, Timeline 5 (Event Thumbnails), VIRAT_S_0102,75
149140946, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,70
149140946, Timeline 2 (Density Graph), VIRAT_S_0500,77.5
149094645, Timeline 5 (Event Thumbnails), VIRAT_S_0002,52.5
149094645, Timeline 1 (Base Interface), VIRAT_S_0100,45
149094645, Timeline 3 (Event Blocks), VIRAT_S_0102,67.5
149094645, Timeline 2 (Density Graph), VIRAT_S_0400,60
149094645, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,60
148958404, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,50
148958404, Timeline 1 (Base Interface), VIRAT_S_0100,30
148958404, Timeline 3 (Event Blocks), VIRAT_S_0102,70
148958404, Timeline 5 (Event Thumbnails), VIRAT_S_0400,77.5
148958404, Timeline 2 (Density Graph), VIRAT_S_0500,45
148904494, Timeline 2 (Density Graph), VIRAT_S_0002,77.5
148904494, Timeline 1 (Base Interface), VIRAT_S_0100,77.5
148904494, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,62.5
148904494, Timeline 3 (Event Blocks), VIRAT_S_0400,82.5
148904494, Timeline 5 (Event Thumbnails), VIRAT_S_0500,90
148822625, Timeline 5 (Event Thumbnails), VIRAT_S_0002,50
148822625, Timeline 1 (Base Interface), VIRAT_S_0100,72.5
148822625, Timeline 2 (Density Graph), VIRAT_S_0102,72.5
148822625, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,95
148822625, Timeline 3 (Event Blocks), VIRAT_S_0500,92.5
148796085, Timeline 5 (Event Thumbnails), VIRAT_S_0002,40
148796085, Timeline 1 (Base Interface), VIRAT_S_0100,40
148796085, Timeline 3 (Event Blocks), VIRAT_S_0102,32.5
148796085, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,25
148796085, Timeline 2 (Density Graph), VIRAT_S_0500,47.5
148786365, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,72.5
148786365, Timeline 2 (Density Graph), VIRAT_S_0100,55
148786365, Timeline 3 (Event Blocks), VIRAT_S_0102,77.5
