Response ID,Timeline Used Value,Timeline Used Value Decrypted,Timeline Type (TimelinesUsed),Timeline Type (User Entry),Video Name,(Original Answer) 1. I think that I would like to use this UI frequently,(Original Answer) 2. I found the UI unnecessarily complex,(Original Answer) 3. I thought the UI was easy to use,(Original Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Original Answer) 5. I found the various functions in this UI were well integrated,(Original Answer) 6. I thought there was too much inconsistency in this UI,(Original Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Original Answer) 8. I found the UI very cumbersome to use,(Original Answer) 9. I felt very confident using the UI,(Original Answer) 10. I needed to learn a lot of things before I could get going with this UI,(Adjusted Answer) 1. I think that I would like to use this UI frequently,(Adjusted Answer) 2. I found the UI unnecessarily complex,(Adjusted Answer) 3. I thought the UI was easy to use,(Adjusted Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Adjusted Answer) 5. I found the various functions in this UI were well integrated,(Adjusted Answer) 6. I thought there was too much inconsistency in this UI,(Adjusted Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Adjusted Answer) 8. I found the UI very cumbersome to use,(Adjusted Answer) 9. I felt very confident using the UI,(Adjusted Answer) 10. I needed to learn a lot of things before I could get going with this UI,Adjusted Answer Sum,SUS Score
149508537, 69511, 143, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0002, 3, 1, 4, 1, 4, 1, 5, 4, 4, 1, 2, 4, 3, 4, 3, 4, 4, 1, 3, 4, 32, 80.0
149508537, 83720, 14352, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 1, 4, 1, 4, 1, 4, 4, 4, 1, 1, 4, 3, 4, 3, 4, 3, 1, 3, 4, 30, 75.0
149508537, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0102, 3, 1, 4, 1, 4, 1, 5, 3, 4, 1, 2, 4, 3, 4, 3, 4, 4, 2, 3, 4, 33, 82.5
149508537, 70803, 1435, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0400, 2, 2, 4, 1, 4, 1, 4, 3, 4, 1, 1, 3, 3, 4, 3, 4, 3, 2, 3, 4, 30, 75.0
149508537, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500, 3, 1, 4, 1, 4, 1, 4, 2, 4, 1, 2, 4, 3, 4, 3, 4, 3, 3, 3, 4, 33, 82.5
149488827, 69793, 425, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0002, 5, 2, 4, 2, 4, 2, 5, 2, 4, 2, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 32, 80.0
149488827, 73619, 4251, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0100, 3, 3, 2, 2, 4, 2, 4, 5, 2, 2, 2, 2, 1, 3, 3, 3, 3, 0, 1, 3, 21, 52.5
149488827, 69410, 42, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0102, 4, 3, 4, 2, 4, 2, 4, 2, 4, 4, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 27, 67.5
149488827, 69368, 0, Other, Timeline 3 (Event Blocks), VIRAT_S_0400, 5, 2, 4, 2, 3, 2, 4, 2, 3, 2, 4, 3, 3, 3, 2, 3, 3, 3, 2, 3, 29, 72.5
149488827, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 29, 72.5
149466211, 69609, 241, Timeline 1 (Base Interface), Timeline 5 (Event Thumbnails), VIRAT_S_0002, 4, 3, 3, 4, 3, 3, 3, 2, 2, 4, 3, 2, 2, 1, 2, 2, 2, 3, 1, 1, 19, 47.5
149466211, 69392, 24, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 2, 2, 2, 2, 23, 57.5
149466211, 93503, 24135, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0102, 4, 2, 4, 3, 4, 2, 4, 2, 4, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 28, 70.0
149466211, 71781, 2413, Timeline 3 (Event Blocks), Timeline 5 (Event Thumbnails), VIRAT_S_0400, 4, 2, 3, 4, 4, 2, 4, 3, 4, 2, 3, 3, 2, 1, 3, 3, 3, 2, 3, 3, 26, 65.0
149466211, 69370, 2, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0500, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 2, 24, 60.0
149439530, 94502, 25134, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
149439530, 69619, 251, Timeline 1 (Base Interface), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
