PID,TIMELINE,SCORE
146201756, Timeline 1 (Base Interface),0
146206265, Timeline 1 (Base Interface),2
146207901, Timeline 1 (Base Interface),1
146208061, Timeline 1 (Base Interface),1
146210319, Timeline 1 (Base Interface),2
146217689, Timeline 1 (Base Interface),1
146266265, Timeline 1 (Base Interface),1
146269551, Timeline 1 (Base Interface),1
146273701, Timeline 1 (Base Interface),1
146284478, Timeline 1 (Base Interface),1
146313793, Timeline 1 (Base Interface),1
146400674, Timeline 1 (Base Interface),2
146411777, Timeline 1 (Base Interface),1
146445266, Timeline 1 (Base Interface),0
146490541, Timeline 1 (Base Interface),1
146511990, Timeline 1 (Base Interface),2
146559166, Timeline 1 (Base Interface),0
146771812, Timeline 1 (Base Interface),1
146772938, Timeline 1 (Base Interface),1
146816020, Timeline 1 (Base Interface),2
146859309, Timeline 1 (Base Interface),0
146919962, Timeline 1 (Base Interface),0
146933121, Timeline 1 (Base Interface),2
146941069, Timeline 1 (Base Interface),0
146944030, Timeline 1 (Base Interface),2
146948076, Timeline 1 (Base Interface),2
146972571, Timeline 1 (Base Interface),1
146975491, Timeline 1 (Base Interface),1
147001785, Timeline 1 (Base Interface),2
147004721, Timeline 1 (Base Interface),1
147051997, Timeline 1 (Base Interface),2
147183355, Timeline 1 (Base Interface),1
147307347, Timeline 1 (Base Interface),0
147308681, Timeline 1 (Base Interface),2
147328880, Timeline 1 (Base Interface),0
147340531, Timeline 1 (Base Interface),2
147430481, Timeline 1 (Base Interface),0
147494993, Timeline 1 (Base Interface),0
147558243, Timeline 1 (Base Interface),2
147653631, Timeline 1 (Base Interface),2
147752820, Timeline 1 (Base Interface),1
147753370, Timeline 1 (Base Interface),1
147842712, Timeline 1 (Base Interface),2
147906122, Timeline 1 (Base Interface),2
147914321, Timeline 1 (Base Interface),2
147916593, Timeline 1 (Base Interface),2
148060312, Timeline 1 (Base Interface),1
148063802, Timeline 1 (Base Interface),0
148063804, Timeline 1 (Base Interface),1
148063807, Timeline 1 (Base Interface),0
148072624, Timeline 1 (Base Interface),2
148087855, Timeline 1 (Base Interface),1
148088832, Timeline 1 (Base Interface),1
148121369, Timeline 1 (Base Interface),0
148121371, Timeline 1 (Base Interface),1
148121544, Timeline 1 (Base Interface),2
148121549, Timeline 1 (Base Interface),0
148191331, Timeline 1 (Base Interface),2
148225108, Timeline 1 (Base Interface),1
148242096, Timeline 1 (Base Interface),2
148250834, Timeline 1 (Base Interface),2
148355343, Timeline 1 (Base Interface),2
148379134, Timeline 1 (Base Interface),2
148457705, Timeline 1 (Base Interface),1
148463769, Timeline 1 (Base Interface),1
148516311, Timeline 1 (Base Interface),2
148547931, Timeline 1 (Base Interface),2
148551719, Timeline 1 (Base Interface),0
148552210, Timeline 1 (Base Interface),0
148558714, Timeline 1 (Base Interface),0
148561559, Timeline 1 (Base Interface),0
148743058, Timeline 1 (Base Interface),2
148768751, Timeline 1 (Base Interface),1
148783679, Timeline 1 (Base Interface),2
148784892, Timeline 1 (Base Interface),0
148786365, Timeline 1 (Base Interface),2
148796085, Timeline 1 (Base Interface),0
148822625, Timeline 1 (Base Interface),1
148904494, Timeline 1 (Base Interface),2
148958404, Timeline 1 (Base Interface),1
149094645, Timeline 1 (Base Interface),0
149140946, Timeline 1 (Base Interface),0
149185311, Timeline 1 (Base Interface),0
149215102, Timeline 1 (Base Interface),2
149353591, Timeline 1 (Base Interface),1
149466211, Timeline 1 (Base Interface),0
149508537, Timeline 1 (Base Interface),2
149605649, Timeline 1 (Base Interface),2
150389044, Timeline 1 (Base Interface),0
150404083, Timeline 1 (Base Interface),1
150404087, Timeline 1 (Base Interface),2
150406438, Timeline 1 (Base Interface),2
150461254, Timeline 1 (Base Interface),1
150490423, Timeline 1 (Base Interface),2
150502997, Timeline 1 (Base Interface),2
150504800, Timeline 1 (Base Interface),0
150506408, Timeline 1 (Base Interface),1
150511275, Timeline 1 (Base Interface),2
150520051, Timeline 1 (Base Interface),0
150550616, Timeline 1 (Base Interface),0
150595058, Timeline 1 (Base Interface),1
150599446, Timeline 1 (Base Interface),2
150614757, Timeline 1 (Base Interface),1
150627078, Timeline 1 (Base Interface),1
150630441, Timeline 1 (Base Interface),0
150637363, Timeline 1 (Base Interface),0
150639039, Timeline 1 (Base Interface),1
150716670, Timeline 1 (Base Interface),1
150743242, Timeline 1 (Base Interface),1
150750066, Timeline 1 (Base Interface),1
150825023, Timeline 1 (Base Interface),1
150860818, Timeline 1 (Base Interface),1
150877653, Timeline 1 (Base Interface),0
150879454, Timeline 1 (Base Interface),0
146201756, Timeline 2 (Density Graph),2
146206265, Timeline 2 (Density Graph),2
146207901, Timeline 2 (Density Graph),2
146208061, Timeline 2 (Density Graph),1
