Response ID, Timeline Name, Rank
149488827, Timeline 1 (Base Interface), 5
149488827, Timeline 2 (Density Graph), 4
149488827, Timeline 3 (Event Blocks), 2
149488827, Timeline 4 (Density Graph + Event Blocks), 3
149488827, Timeline 5 (Event Thumbnails), 1
149466211, Timeline 1 (Base Interface), 5
149466211, Timeline 2 (Density Graph), 4
149466211, Timeline 3 (Event Blocks), 2
149466211, Timeline 4 (Density Graph + Event Blocks), 3
149466211, Timeline 5 (Event Thumbnails), 1
149439530, Timeline 1 (Base Interface), 5
149439530, Timeline 2 (Density Graph), 4
149439530, Timeline 3 (Event Blocks), 3
149439530, Timeline 4 (Density Graph + Event Blocks), 1
149439530, Timeline 5 (Event Thumbnails), 2
149353591, Timeline 1 (Base Interface), 5
149353591, Timeline 2 (Density Graph), 4
149353591, Timeline 3 (Event Blocks), 3
149353591, Timeline 4 (Density Graph + Event Blocks), 2
149353591, Timeline 5 (Event Thumbnails), 1
149215102, Timeline 1 (Base Interface), 5
149215102, Timeline 2 (Density Graph), 4
149215102, Timeline 3 (Event Blocks), 3
149215102, Timeline 4 (Density Graph + Event Blocks), 2
149215102, Timeline 5 (Event Thumbnails), 1
149185311, Timeline 1 (Base Interface), 5
149185311, Timeline 2 (Density Graph), 4
149185311, Timeline 3 (Event Blocks), 3
149185311, Timeline 4 (Density Graph + Event Blocks), 2
149185311, Timeline 5 (Event Thumbnails), 1
149140946, Timeline 1 (Base Interface), 5
149140946, Timeline 2 (Density Graph), 1
149140946, Timeline 3 (Event Blocks), 4
149140946, Timeline 4 (Density Graph + Event Blocks), 3
149140946, Timeline 5 (Event Thumbnails), 2
149094645, Timeline 1 (Base Interface), 5
149094645, Timeline 2 (Density Graph), 4
149094645, Timeline 3 (Event Blocks), 3
149094645, Timeline 4 (Density Graph + Event Blocks), 1
149094645, Timeline 5 (Event Thumbnails), 2
148958404, Timeline 1 (Base Interface), 5
148958404, Timeline 2 (Density Graph), 3
148958404, Timeline 3 (Event Blocks), 4
148958404, Timeline 4 (Density Graph + Event Blocks), 2
148958404, Timeline 5 (Event Thumbnails), 1
148904494, Timeline 1 (Base Interface), 5
148904494, Timeline 2 (Density Graph), 4
148904494, Timeline 3 (Event Blocks), 2
148904494, Timeline 4 (Density Graph + Event Blocks), 3
148904494, Timeline 5 (Event Thumbnails), 1
148822625, Timeline 1 (Base Interface), 5
148822625, Timeline 2 (Density Graph), 3
148822625, Timeline 3 (Event Blocks), 2
148822625, Timeline 4 (Density Graph + Event Blocks), 1
148822625, Timeline 5 (Event Thumbnails), 4
148796085, Timeline 1 (Base Interface), 5
148796085, Timeline 2 (Density Graph), 3
148796085, Timeline 3 (Event Blocks), 2
148796085, Timeline 4 (Density Graph + Event Blocks), 4
148796085, Timeline 5 (Event Thumbnails), 1
148786365, Timeline 1 (Base Interface), 5
148786365, Timeline 2 (Density Graph), 4
148786365, Timeline 3 (Event Blocks), 2
148786365, Timeline 4 (Density Graph + Event Blocks), 3
148786365, Timeline 5 (Event Thumbnails), 1
148784892, Timeline 1 (Base Interface), 5
148784892, Timeline 2 (Density Graph), 4
148784892, Timeline 3 (Event Blocks), 3
148784892, Timeline 4 (Density Graph + Event Blocks), 2
148784892, Timeline 5 (Event Thumbnails), 1
148768751, Timeline 1 (Base Interface), 5
148768751, Timeline 2 (Density Graph), 3
148768751, Timeline 3 (Event Blocks), 2
148768751, Timeline 4 (Density Graph + Event Blocks), 4
148768751, Timeline 5 (Event Thumbnails), 1
148743058, Timeline 1 (Base Interface), 1
148743058, Timeline 2 (Density Graph), 3
148743058, Timeline 3 (Event Blocks), 2
148743058, Timeline 4 (Density Graph + Event Blocks), 4
148743058, Timeline 5 (Event Thumbnails), 5
148558714, Timeline 1 (Base Interface), 5
148558714, Timeline 2 (Density Graph), 4
148558714, Timeline 3 (Event Blocks), 3
148558714, Timeline 4 (Density Graph + Event Blocks), 2
148558714, Timeline 5 (Event Thumbnails), 1
148552210, Timeline 1 (Base Interface), 1
148552210, Timeline 2 (Density Graph), 3
148552210, Timeline 3 (Event Blocks), 4
148552210, Timeline 4 (Density Graph + Event Blocks), 5
148552210, Timeline 5 (Event Thumbnails), 2
148551719, Timeline 1 (Base Interface), 5
