Video Name, Frame Rate (f/s), Duration (ms), Duration, Frames (f)
VIRAT_S_000200_00_000100_000171, 30.000, 70467, 1 min 10 s 467 ms, 2114
VIRAT_S_000200_01_000226_000268, 30.000, 41967, 41 s 967 ms, 1259
VIRAT_S_000200_02_000479_000635, 30.000, 155300, 2 min 35 s 300 ms, 4659
VIRAT_S_000200_03_000657_000899, 30.000, 241434, 4 min 1 s 434 ms, 7243
VIRAT_S_000200_04_000937_001443, 30.000, 505467, 8 min 25 s 467 ms, 15164
VIRAT_S_000200_05_001525_001575, 30.000, 49400, 49 s 400 ms, 1482
VIRAT_S_000200_06_001693_001824, 30.000, 130234, 2 min 10 s 234 ms, 3907
VIRAT_S_000201_00_000018_000380, 30.000, 361134, 6 min 1 s 134 ms, 10834
VIRAT_S_000201_01_000384_000589, 30.000, 204767, 3 min 24 s 767 ms, 6143
VIRAT_S_000201_02_000590_000623, 30.000, 32700, 32 s 700 ms, 981
VIRAT_S_000201_03_000640_000672, 30.000, 31434, 31 s 434 ms, 943
VIRAT_S_000201_04_000682_000822, 30.000, 139400, 2 min 19 s 400 ms, 4182
VIRAT_S_000201_05_001081_001215, 30.000, 133167, 2 min 13 s 167 ms, 3995
VIRAT_S_000201_06_001354_001397, 30.000, 42800, 42 s 800 ms, 1284
VIRAT_S_000201_07_001485_001581, 30.000, 95800, 1 min 35 s 800 ms, 2874
VIRAT_S_000201_08_001652_001838, 30.000, 186000, 3 min 6 s 0 ms, 5580
VIRAT_S_000202_00_000000_000977, 30.000, 977000, 16 min 17 s 0 ms, 29310
VIRAT_S_000203_03_000736_000785, 30.000, 48934, 48 s 934 ms, 1468
VIRAT_S_000203_04_000903_001086, 30.000, 182734, 3 min 2 s 734 ms, 5482
VIRAT_S_000203_05_001122_001159, 30.000, 36434, 36 s 434 ms, 1093
VIRAT_S_000203_06_001206_001266, 30.000, 59367, 59 s 367 ms, 1781
VIRAT_S_000203_07_001341_001458, 30.000, 116700, 1 min 56 s 700 ms, 3501
VIRAT_S_000203_08_001702_001734, 30.000, 31800, 31 s 800 ms, 954
VIRAT_S_000203_09_001789_001842, 30.000, 47000, 47 s 0 ms, 1410
VIRAT_S_000205_00_000065_000149, 30.000, 83434, 1 min 23 s 434 ms, 2503
VIRAT_S_000205_01_000197_000342, 30.000, 144134, 2 min 24 s 134 ms, 4324
VIRAT_S_000205_02_000409_000566, 30.000, 156334, 2 min 36 s 334 ms, 4690
VIRAT_S_000205_03_000860_000922, 30.000, 61200, 1 min 1 s 200 ms, 1836
VIRAT_S_000205_04_000927_001057, 30.000, 130000, 2 min 10 s 0 ms, 3900
VIRAT_S_000205_05_001092_001124, 30.000, 31934, 31 s 934 ms, 958
VIRAT_S_000206_07_001501_001600, 30.000, 91000, 1 min 31 s 0 ms, 2730
VIRAT_S_000206_08_001618_001712, 30.000, 93634, 1 min 33 s 634 ms, 2809
VIRAT_S_000206_09_001714_001851, 30.000, 127000, 2 min 7 s 0 ms, 3810
VIRAT_S_000207_00_000000_000045, 30.000, 45000, 45 s 0 ms, 1350
VIRAT_S_000207_01_000094_000156, 30.000, 61600, 1 min 1 s 600 ms, 1848
VIRAT_S_000207_02_000498_000530, 30.000, 31434, 31 s 434 ms, 943
VIRAT_S_000207_03_000556_000590, 30.000, 34000, 34 s 0 ms, 1020
VIRAT_S_000207_04_000902_000934, 30.000, 31267, 31 s 267 ms, 938
VIRAT_S_000207_05_001125_001193, 30.000, 67734, 1 min 7 s 734 ms, 2032
