Video Name                      ,Frame Rate (f/s) ,Duration (ms) ,Duration          ,Frames (f)
VIRAT_S_010200_00_000060_000218 ,          23.976 ,       155445 ,2 min 35 s 445 ms ,      3726
VIRAT_S_010200_01_000254_000322 ,          23.976 ,        61285 ,1 min 1 s 285 ms  ,      1469
VIRAT_S_010200_02_000349_000398 ,          23.976 ,        43430 ,43 s 430 ms       ,      1041
VIRAT_S_010200_03_000470_000567 ,          23.976 ,        87235 ,1 min 27 s 235 ms ,      2091
VIRAT_S_010200_04_000568_000620 ,          23.976 ,        46392 ,46 s 392 ms       ,      1112
VIRAT_S_010200_05_000658_000700 ,          23.976 ,        32499 ,32 s 499 ms       ,       779
VIRAT_S_010200_06_000702_000744 ,          23.976 ,        34794 ,34 s 794 ms       ,       834
VIRAT_S_010200_07_000748_000837 ,          23.976 ,        86066 ,1 min 26 s 66 ms  ,      2063
VIRAT_S_010200_08_000838_000867 ,          23.976 ,        22195 ,22 s 195 ms       ,       532
VIRAT_S_010200_09_000886_000915 ,          23.976 ,        28494 ,28 s 494 ms       ,       683
VIRAT_S_010200_10_000923_000959 ,          23.976 ,        30789 ,30 s 789 ms       ,       738
VIRAT_S_010201_00_000000_000053 ,          23.976 ,        53025 ,53 s 25 ms        ,      1271
VIRAT_S_010201_01_000125_000152 ,          23.976 ,        26867 ,26 s 867 ms       ,       644
VIRAT_S_010201_02_000167_000197 ,          23.976 ,        19733 ,19 s 733 ms       ,       473
VIRAT_S_010201_03_000270_000359 ,          23.976 ,        87860 ,1 min 27 s 860 ms ,      2106
VIRAT_S_010201_04_000374_000469 ,          23.976 ,        93534 ,1 min 33 s 534 ms ,      2242
VIRAT_S_010201_05_000499_000527 ,          23.976 ,        26409 ,26 s 409 ms       ,       633
VIRAT_S_010201_06_000550_000600 ,          23.976 ,        47226 ,47 s 226 ms       ,      1132
VIRAT_S_010201_07_000601_000697 ,          23.976 ,        92116 ,1 min 32 s 116 ms ,      2208
VIRAT_S_010201_08_000705_000739 ,          23.976 ,        29788 ,29 s 788 ms       ,       714
VIRAT_S_010201_09_000770_000801 ,          23.976 ,        29204 ,29 s 204 ms       ,       700
VIRAT_S_010202_00_000001_000033 ,          23.976 ,        22612 ,22 s 612 ms       ,       542
VIRAT_S_010202_01_000055_000147 ,          23.976 ,        84439 ,1 min 24 s 439 ms ,      2024
VIRAT_S_010202_02_000161_000189 ,          23.976 ,        22153 ,22 s 153 ms       ,       531
VIRAT_S_010202_03_000313_000355 ,          23.976 ,        31707 ,31 s 707 ms       ,       760
VIRAT_S_010202_06_000784_000873 ,          23.976 ,        80351 ,1 min 20 s 351 ms ,      1926
VIRAT_S_010203_00_000047_000139 ,          23.976 ,        86859 ,1 min 26 s 859 ms ,      2082
VIRAT_S_010203_02_000347_000397 ,          23.976 ,        42429 ,42 s 429 ms       ,      1017
VIRAT_S_010203_03_000400_000435 ,          23.976 ,        28244 ,28 s 244 ms       ,       677
VIRAT_S_010203_04_000457_000511 ,          23.976 ,        52107 ,52 s 107 ms       ,      1249
VIRAT_S_010203_05_000515_000593 ,          23.976 ,        71548 ,1 min 11 s 548 ms ,      1715
VIRAT_S_010203_06_000620_000760 ,          23.976 ,       134252 ,2 min 14 s 252 ms ,      3218
VIRAT_S_010203_07_000775_000869 ,          23.976 ,        86776 ,1 min 26 s 776 ms ,      2080
VIRAT_S_010203_08_000895_000975 ,          23.976 ,        78056 ,1 min 18 s 56 ms  ,      1871
VIRAT_S_010203_09_001010_001036 ,          23.976 ,        24323 ,24 s 323 ms       ,       583
VIRAT_S_010203_10_001092_001121 ,          23.976 ,        25908 ,25 s 908 ms       ,       621
VIRAT_S_010204_00_000030_000059 ,          23.976 ,        27744 ,27 s 744 ms       ,       665
VIRAT_S_010204_01_000072_000225 ,          23.976 ,       152024 ,2 min 32 s 24 ms  ,      3644
