Video Name                      ,Frame Rate (f/s) ,Duration (ms) ,Duration           ,Frames (f)
VIRAT_S_040000_00_000000_000036 ,          29.970 ,        36003 ,36 s 3 ms          ,      1079
VIRAT_S_040000_00_000063_000085 ,          29.970 ,        21655 ,21 s 655 ms        ,       649
VIRAT_S_040000_01_000042_000099 ,          29.970 ,        56891 ,56 s 891 ms        ,      1705
VIRAT_S_040000_02_000111_000145 ,          29.970 ,        34001 ,34 s 1 ms          ,      1019
VIRAT_S_040000_03_000221_000372 ,          29.970 ,       150885 ,2 min 30 s 885 ms  ,      4522
VIRAT_S_040000_04_000532_000622 ,          29.970 ,        89790 ,1 min 29 s 790 ms  ,      2691
VIRAT_S_040000_05_000668_000703 ,          29.970 ,        34635 ,34 s 635 ms        ,      1038
VIRAT_S_040000_06_000746_000964 ,          29.970 ,       217985 ,3 min 37 s 985 ms  ,      6533
VIRAT_S_040000_07_000966_001071 ,          29.970 ,       104738 ,1 min 44 s 738 ms  ,      3138
VIRAT_S_040000_08_001084_001190 ,          29.970 ,       105639 ,1 min 45 s 639 ms  ,      3166
VIRAT_S_040000_09_001194_001574 ,          29.970 ,       370003 ,6 min 10 s 3 ms    ,     11088
VIRAT_S_040001_00_000035_000319 ,          29.970 ,       283684 ,4 min 43 s 684 ms  ,      8502
VIRAT_S_040001_01_000448_001101 ,          29.970 ,       652886 ,10 min 52 s 886 ms ,     19566
VIRAT_S_040001_02_001102_001530 ,          29.970 ,       428028 ,7 min 8 s 28 ms    ,     12827
VIRAT_S_040001_03_001531_001595 ,          29.970 ,        53387 ,53 s 387 ms        ,      1600
VIRAT_S_040002_03_001525_001569 ,          29.970 ,        43778 ,43 s 778 ms        ,      1312
VIRAT_S_040003_00_000000_000072 ,          29.970 ,        72006 ,1 min 12 s 6 ms    ,      2158
VIRAT_S_040003_01_000083_000193 ,          29.970 ,       109643 ,1 min 49 s 643 ms  ,      3286
VIRAT_S_040003_02_000197_000552 ,          29.970 ,       354922 ,5 min 54 s 922 ms  ,     10637
VIRAT_S_040003_03_000577_000741 ,          29.970 ,       163931 ,2 min 43 s 931 ms  ,      4913
VIRAT_S_040003_04_000758_001118 ,          29.970 ,       359960 ,5 min 59 s 960 ms  ,     10788
VIRAT_S_040003_05_001123_001437 ,          29.970 ,       313781 ,5 min 13 s 781 ms  ,      9404
VIRAT_S_040003_06_001441_001518 ,          29.970 ,        76877 ,1 min 16 s 877 ms  ,      2304
VIRAT_S_040004_00_000011_000093 ,          29.970 ,        81715 ,1 min 21 s 715 ms  ,      2448
VIRAT_S_040005_00_000003_000058 ,          29.970 ,        54722 ,54 s 722 ms        ,      1640
VIRAT_S_040005_06_000886_001016 ,          29.970 ,       129830 ,2 min 9 s 830 ms   ,      3891
VIRAT_S_040005_07_001026_001223 ,          29.970 ,       196697 ,3 min 16 s 697 ms  ,      5895
VIRAT_S_040005_08_001225_001276 ,          29.970 ,        50684 ,50 s 684 ms        ,      1518
